dissimilarity_ang_0_dist_1,dissimilarity_ang_45_dist_1,dissimilarity_ang_90_dist_1,dissimilarity_ang_135_dist_1,correlation_ang_0_dist_1,correlation_ang_45_dist_1,correlation_ang_90_dist_1,correlation_ang_135_dist_1,homogeneity_ang_0_dist_1,homogeneity_ang_45_dist_1,homogeneity_ang_90_dist_1,homogeneity_ang_135_dist_1,contrast_ang_0_dist_1,contrast_ang_45_dist_1,contrast_ang_90_dist_1,contrast_ang_135_dist_1,ASM_ang_0_dist_1,ASM_ang_45_dist_1,ASM_ang_90_dist_1,ASM_ang_135_dist_1,energy_ang_0_dist_1,energy_ang_45_dist_1,energy_ang_90_dist_1,energy_ang_135_dist_1,pathology,image_path
4.8868560352819233e-05,6.640095976624506e-05,4.606930236063227e-05,6.905110893651649e-05,0.995229870363446,0.9935200867678906,0.995502861005053,0.9932614649537488,0.9999755657198237,0.9999667995201169,0.9999769653488196,0.9999654744455317,4.8868560352819233e-05,6.640095976624506e-05,4.606930236063227e-05,6.905110893651649e-05,0.9897064310468917,0.9896864045459137,0.9897097970678458,0.9896837547557117,0.9948399022188905,0.9948298369801308,0.9948415939574731,0.9948285051986154,benign,D:/mathe/Documents/BancoDados_IC/Mamografia/INBREAST/AllXML/22678646.xml
3.083723913830009e-05,5.4990595283132e-05,4.56277435520639e-05,5.4990595283132e-05,0.9965060930457428,0.9937709991863906,0.9948337343380323,0.9937709991863906,0.9999845813804309,0.9999725047023584,0.999977186128224,0.9999725047023584,3.083723913830009e-05,5.4990595283132e-05,4.56277435520639e-05,5.4990595283132e-05,0.9911431590293526,0.9911168557260879,0.9911225126925161,0.9911168557260879,0.995561730396138,0.9955485200260648,0.9955513611524601,0.9955485200260648,benign,D:/mathe/Documents/BancoDados_IC/Mamografia/INBREAST/AllXML/22678694.xml
8.49312027818575e-05,0.00012234855336086398,8.948925186985437e-05,0.0001269126991541092,0.9945381374228837,0.9921337667564031,0.9942446949954504,0.9918403212322736,0.9999575343986088,0.9999388257233197,0.999955255374065,0.9999365436504231,8.49312027818575e-05,0.00012234855336086398,8.948925186985437e-05,0.0001269126991541092,0.984365215210715,0.984324027263237,0.9843615162623897,0.9843194642551084,0.9921518105666668,0.9921310534718873,0.9921499464609116,0.9921287538697325,malignant,D:/mathe/Documents/BancoDados_IC/Mamografia/INBREAST/AllXML/22614074.xml
6.182167273549421e-06,8.097678020273788e-06,6.623382128525406e-06,9.128291586490453e-06,0.9502338755489895,0.9348300741321633,0.9466791525582017,0.9265357199308024,0.9999969089163634,0.9999959511609898,0.9999966883089357,0.9999954358542069,6.182167273549421e-06,8.097678020273788e-06,6.623382128525406e-06,9.128291586490453e-06,0.9998695934644496,0.999867647558159,0.9998691591662151,0.9998666169623462,0.9999347946063532,0.9999338215892885,0.999934577443052,0.9999333062571455,benign,D:/mathe/Documents/BancoDados_IC/Mamografia/INBREAST/AllXML/22614097.xml
9.552920382222795e-05,0.00015105850270547103,0.0001059741140564065,0.00013530483819330203,0.9944322191975414,0.9911979116850916,0.9938231121250288,0.9921158682637419,0.9999522353980889,0.9999244707486473,0.999947012942972,0.9999323475809033,9.552920382222795e-05,0.00015105850270547103,0.0001059741140564065,0.00013530483819330203,0.982746979077138,0.9826872979816685,0.9827374825210901,0.9827030471349086,0.9913359567155516,0.9913058549114236,0.9913311669271223,0.9913137985193733,malignant,D:/mathe/Documents/BancoDados_IC/Mamografia/INBREAST/AllXML/22614127.xml
6.623750650231522e-06,9.275522095949976e-06,6.91775466757098e-06,9.86444413378807e-06,0.9508700503468043,0.9312180693497801,0.9486864972213606,0.9268509626418298,0.9999966881246749,0.9999953622389519,0.9999965411226663,0.9999950677779332,6.623750650231522e-06,9.275522095949976e-06,6.91775466757098e-06,9.86444413378807e-06,0.9998585552584582,0.9998558705113085,0.999858268758875,0.9998552816005427,0.9999292751282254,0.9999279326588034,0.9999291318682915,0.999927638182155,benign,D:/mathe/Documents/BancoDados_IC/Mamografia/INBREAST/AllXML/22614150.xml
2.796694718986643e-06,4.122454264866657e-06,2.6493528514101627e-06,3.975223755407132e-06,0.9291030792369991,0.8955203267919024,0.9328344961929697,0.8992517436921919,0.9999986016526405,0.9999979387728677,0.9999986753235743,0.9999980123881221,2.796694718986643e-06,4.122454264866657e-06,2.6493528514101627e-06,3.975223755407132e-06,0.999957755976196,0.9999564205646528,0.9999579055119262,0.9999565677939696,0.9999788777650236,0.9999782100449254,0.9999789525344652,0.9999782836611851,benign,D:/mathe/Documents/BancoDados_IC/Mamografia/INBREAST/AllXML/50997434.xml
2.9438891778806767e-05,3.96050070446118e-05,3.179223421692195e-05,4.505253589461417e-05,0.992479997951752,0.9898855923772278,0.9918783986758236,0.9884943913287426,0.9999852805541107,0.9999801974964777,0.9999841038828915,0.9999774737320528,2.9438891778806767e-05,3.96050070446118e-05,3.179223421692195e-05,4.505253589461417e-05,0.9960558167939604,0.9960446944737849,0.9960536809700138,0.9960392474061094,0.9980259599799799,0.9980203878046705,0.9980248899551623,0.9980176588648667,benign,D:/mathe/Documents/BancoDados_IC/Mamografia/INBREAST/AllXML/50997461.xml
2.649500260092609e-06,3.533532227028562e-06,2.5021665818873756e-06,3.533532227028562e-06,0.9150930148518418,0.886790686036502,0.9198100696519065,0.886790686036502,0.99999867524987,0.9999982332338864,0.999998748916709,0.9999982332338864,2.649500260092609e-06,3.533532227028562e-06,2.5021665818873756e-06,3.533532227028562e-06,0.9999661457683572,0.9999652540993752,0.999966294837369,0.9999652540993752,0.9999830727409126,0.9999826268987753,0.9999831472766774,0.9999826268987753,benign,D:/mathe/Documents/BancoDados_IC/Mamografia/INBREAST/AllXML/50997488.xml
4.533589333936242e-05,7.28791021824641e-05,5.210393941106652e-05,6.419250212435223e-05,0.9934572165590577,0.9894848033421683,0.9924800490632424,0.9907381298124959,0.9999773320533304,0.9999635604489088,0.9999739480302945,0.999967903748938,4.533589333936242e-05,7.28791021824641e-05,5.210393941106652e-05,6.419250212435223e-05,0.9930255214411702,0.9929962903385857,0.9930191382224139,0.9930049757479577,0.9965066590049312,0.9964919921096134,0.9965034562019411,0.9964963500926421,benign,D:/mathe/Documents/BancoDados_IC/Mamografia/INBREAST/AllXML/50997515.xml
